Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771723663	106	0	0	0	0	179874	492136	0	2070884	5340513	0	14966	0	274329	1561	743295	657	5	457	10	39
1771723664	107	0	0	0	0	180299	485800	0	2008388	5360292	0	15194	0	274792	1568	743295	657	5	457	6	29
1771723665	108	0	0	0	0	181356	496596	0	2104256	5366885	0	15248	0	275177	1574	743381	658	6	468	10	42
1771723666	109	0	0	0	0	177221	335324	0	1945924	5386664	0	15478	0	276154	1580	743381	658	6	468	5	28
1771723667	110	0	0	0	0	257279	574364	0	2359160	5413036	0	15758	0	276322	1583	743381	658	6	471	9	36
1771723668	111	0	0	0	0	179871	492176	0	2070884	5413036	0	15758	0	276490	1586	743381	658	6	480	10	39
1771723669	112	0	0	0	0	177855	478472	0	1993736	5426222	0	15900	0	277014	1595	743553	660	6	480	6	29
1771723670	113	0	0	0	0	177904	486276	0	2059160	5432815	0	15950	0	282600	1616	745417	673	6	488	10	39
1771723671	114	0	0	0	0	177850	478460	0	1993736	5452594	0	16182	0	283741	1622	745417	673	6	488	6	29
1771723672	115	0	0	0	0	252146	566160	0	2334960	5478966	0	16466	0	285165	1631	745417	673	6	491	9	34
1771723673	116	0	0	0	0	180265	343520	0	1734312	5478966	0	16466	0	286123	1638	745675	676	6	496	8	33
1771723674	117	0	0	0	0	177369	477008	0	1990808	5492152	0	16606	0	286515	1645	745737	677	6	498	6	29
1771723675	118	0	0	0	0	183286	502412	0	2091392	5498745	0	16660	0	287078	1654	748877	680	6	507	10	39
1771723676	119	0	0	0	0	179791	342608	0	1748752	5511931	0	16798	0	287414	1660	748877	680	6	509	8	35
1771723677	120	0	0	0	0	178838	481412	0	1999604	5531710	0	17030	0	288604	1672	750473	690	6	511	6	29
1771723678	121	0	0	0	0	181507	647556	0	2404728	5538303	0	17082	0	305179	1731	762342	739	6	523	12	43
1771723679	122	0	0	0	0	180300	485804	0	2008388	5558082	0	17312	0	313341	1755	764867	750	6	523	6	29
1771723680	123	0	0	0	0	180355	493600	0	2073812	5564675	0	17366	0	317434	1775	768061	763	6	528	10	39
1771723681	124	0	0	0	0	177920	486256	0	2059160	5577861	0	17504	0	321997	1793	768784	769	6	533	10	39
1771723682	125	0	0	0	0	182729	493100	0	2023040	5597640	0	17736	0	325195	1807	768954	770	7	533	6	29
1771723683	126	0	0	0	0	177918	486324	0	2059160	5604233	0	17786	0	327470	1818	769317	773	7	542	10	39
1771723684	127	0	0	0	0	184691	498968	0	2034752	5624012	0	18018	0	327866	1824	769513	775	7	542	6	29
1771723685	128	0	0	0	0	178325	339572	0	1742888	5630605	0	18070	0	328604	1829	769611	776	7	547	8	35
1771723686	129	0	0	0	0	177913	486272	0	2059160	5643791	0	18210	0	328828	1833	769611	776	7	554	10	39
1771723687	130	0	0	0	0	183718	496044	0	2028896	5663570	0	18442	0	329995	1846	769611	776	7	554	6	29
1771723688	131	0	0	0	0	177862	485968	0	2034572	5670163	0	18492	0	330219	1850	769611	776	7	559	10	36
1771723689	132	0	0	0	0	183776	647340	0	2337032	5689942	0	18724	0	330585	1855	769717	777	7	560	7	30
1771723690	133	0	0	0	0	266397	713136	0	2617488	5716314	0	19006	0	336185	1878	771679	791	7	565	10	37
1771723691	134	0	0	0	0	182725	348476	0	1760472	5716314	0	19006	0	337100	1887	771679	791	7	571	8	35
1771723692	135	0	0	0	0	179329	482856	0	2002532	5729500	0	19146	0	337268	1890	771679	791	7	572	6	29
1771723693	136	0	0	0	0	181252	345504	0	1754608	5736093	0	19200	0	337436	1893	771851	793	7	579	8	35
1771723694	137	0	0	0	0	180351	493644	0	2073812	5749279	0	19340	0	341099	1912	778999	800	7	587	8	37
1771723695	138	0	0	0	0	214058	371120	0	1992764	5775651	0	19658	0	342292	1921	779567	803	7	587	6	29
1771723696	139	0	0	0	0	180873	495056	0	2101328	5775651	0	19658	0	342630	1924	779763	805	7	598	10	42
1771723697	140	0	0	0	0	179859	631684	0	2305784	5795430	0	19852	0	343291	1930	779849	806	8	598	7	30
1771723698	141	0	0	0	0	184925	660980	0	2432072	5802023	0	19902	0	343489	1933	779947	807	8	607	12	43
1771723699	142	0	0	0	0	181764	490192	0	2017172	5821802	0	20134	0	344283	1941	780009	808	8	607	6	29
1771723700	143	0	0	0	0	177448	484820	0	2080820	5828395	0	20186	0	346118	1952	780349	810	8	616	10	42
1771723701	144	0	0	0	0	175380	333732	0	1714776	5841581	0	20328	0	352127	1976	781712	819	8	616	8	33
1771723702	145	0	0	0	0	178826	481400	0	1999604	5861360	0	20560	0	352629	1983	781712	819	8	618	6	29
1771723703	146	0	0	0	0	179989	641508	0	2360232	5867953	0	20610	0	353196	1991	782040	822	8	627	12	39
1771723704	147	0	0	0	0	174926	469676	0	1976156	5887732	0	20842	0	354312	2005	783028	831	8	627	6	29
1771723705	148	0	0	0	0	179798	342620	0	1748752	5894325	0	20892	0	354604	2010	783114	832	8	632	8	35
1771723706	149	0	0	0	0	176457	481944	0	2050376	5907511	0	21036	0	355836	2017	783114	832	8	639	10	39
1771723707	150	0	0	0	0	176885	475544	0	1987880	5927290	0	21266	0	356472	2023	783114	832	8	639	6	29
1771723708	151	0	0	0	0	179874	492104	0	2070884	5933883	0	21316	0	356981	2031	786170	834	8	648	10	39
1771723709	152	0	0	0	0	180793	487268	0	2011316	5953662	0	21548	0	361687	2052	791837	849	8	648	6	29
1771723710	153	0	0	0	0	179306	341712	0	1746800	5960255	0	21600	0	362195	2056	791923	850	8	653	8	35
1771723711	154	0	0	0	0	177118	629956	0	2369576	5973441	0	21740	0	366065	2084	795243	871	8	664	12	43
1771723712	155	0	0	0	0	177849	478460	0	1993736	5993220	0	21972	0	390711	2157	805884	925	8	664	6	29
1771723713	156	0	0	0	0	179390	490584	0	2067956	5999813	0	22024	0	391785	2165	805884	925	9	669	10	39
1771723714	157	0	0	0	0	178074	482456	0	2016520	6019592	0	22256	0	403334	2201	813443	956	9	669	6	29
1771723715	158	0	0	0	0	173944	330764	0	1741704	6026185	0	22306	0	416712	2227	817728	967	9	676	8	37
1771723716	159	0	0	0	0	183779	503760	0	2094320	6039371	0	22448	0	417683	2233	817728	967	9	682	10	39
1771723717	160	0	0	0	0	180328	781528	0	2610988	6059150	0	22676	0	417851	2236	817728	967	9	698	8	31
1771723718	161	0	0	0	0	179345	490532	0	2043368	6065743	0	22730	0	418151	2241	817900	969	9	704	10	36
1771723719	162	0	0	0	0	180027	488320	0	2020048	6085522	0	22960	0	422114	2259	821664	980	9	704	6	29
1771723720	163	0	0	0	0	178339	339692	0	1759280	6092115	0	23012	0	422701	2264	821664	980	9	712	8	37
1771723721	164	0	0	0	0	181848	497928	0	2107184	6105301	0	23152	0	425410	2282	826356	988	9	722	10	42
1771723722	165	0	0	0	0	179324	482864	0	2002532	6125080	0	23382	0	430261	2297	827040	992	9	722	6	29
1771723723	166	0	0	0	0	181268	345556	0	1754608	6131673	0	23436	0	432134	2306	827040	992	9	726	8	35
1771723724	167	0	0	0	0	177834	338596	0	1740936	6144859	0	23574	0	433565	2314	827282	994	9	730	8	35
1771723725	168	0	0	0	0	184202	345716	0	1722712	6164638	0	23804	0	435097	2324	827928	1000	9	732	5	28
1771723726	169	0	0	0	0	178401	487800	0	2062088	6171231	0	23858	0	436783	2333	828076	1002	9	741	10	39
1771723727	170	0	0	0	0	177382	477008	0	1990808	6191010	0	24086	0	438501	2344	835189	1009	9	741	6	29
1771723728	171	0	0	0	0	180353	493568	0	2073812	6197603	0	24140	0	440288	2353	835189	1009	9	749	10	39
1771723729	172	0	0	0	0	177417	484672	0	2056232	6210789	0	24280	0	442420	2363	835189	1009	9	754	10	39
